# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FilePageCacheLockFree.totalPagesReadMs,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.totalPageAllocationsWaited,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.totalNativeBytesReclaimed,1705909209249000000,1705909269227000000,0
FilePageCache.pageHits,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.totalBytesRequested,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.totalHeapBytesAllocated,1705909209249000000,1705909269227000000,0
StreamlinedBlobStorage.recordsRelocated,1705909209249000000,1705909269227000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.heapBytesInUse,1705909209249000000,1705909269227000000,0
DirectByteBufferAllocator.disposed,1705909209249000000,1705909269227000000,0
StorageLockContext.competingThreads.max,1705909209249000000,1705909269227000000,0
FilePageCache.totalPageLoadsUs,1705909209249000000,1705909269227000000,0
StorageLockContext.competingThreads.90P,1705909209249000000,1705909269227000000,0
MappedFileStorage.totalPagesMapped,1705909209249000000,1705909269227000000,18
StreamlinedBlobStorage.recordsDeleted,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.housekeeperTurnsSkipped,1705909209249000000,1705909269227000000,3734
FilePageCache.totalPageDisposalsUs,1705909209249000000,1705909269227000000,0
FilePageCache.uncachedFileAccess,1705909209249000000,1705909269227000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.totalPagesHandedOver,1705909209249000000,1705909269227000000,0
StorageLockContext.competingThreads.avg,1705909209249000000,1705909269227000000,0.0
DirectByteBufferAllocator.misses,1705909209249000000,1705909269227000000,0
FilePageCache.maxRegisteredFiles,1705909209249000000,1705909269227000000,908
DirectByteBufferAllocator.hits,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.totalPagesReclaimed,1705909209249000000,1705909269227000000,0
FilePageCache.disposedBuffers,1705909209249000000,1705909269227000000,0
FileChannelInterruptsRetryer.totalRetriedAttempts,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.totalPagesRequestsMs,1705909209249000000,1705909269227000000,0
DirectByteBufferAllocator.reclaimed,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.totalHeapBytesReclaimed,1705909209249000000,1705909269227000000,0
MappedFileStorage.totalBytesMapped,1705909209249000000,1705909269227000000,144965632
StreamlinedBlobStorage.recordsAllocated,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.totalBytesWritten,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.totalNativeBytesAllocated,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.totalBytesRead,1705909209249000000,1705909269227000000,0
FilePageCache.maxCacheSizeInBytes,1705909209249000000,1705909269227000000,503349248
FilePageCacheLockFree.housekeeperTimeSpentMs,1705909209249000000,1705909269227000000,19
FilePageCacheLockFree.totalPagesWriteMs,1705909209249000000,1705909269227000000,0
FilePageCacheLockFree.totalPagesRequested,1705909209249000000,1705909269227000000,0
FilePageCache.pageLoadsAboveSizeThreshold,1705909209249000000,1705909269227000000,0
JVM.totalCpuTimeMs,1705909209249000000,1705909269227000000,1625
JVM.totalBytesAllocated,1705909209249000000,1705909269227000000,172671632
JVM.usedNativeBytes,1705909209249000000,1705909269227000000,411346304
JVM.GC.collectionTimesMs,1705909209249000000,1705909269227000000,16
JVM.GC.collections,1705909209249000000,1705909269227000000,1
OS.loadAverage,1705909209249000000,1705909269227000000,-1.0
JVM.maxHeapBytes,1705909209249000000,1705909269227000000,2147483648
JVM.usedHeapBytes,1705909209249000000,1705909269227000000,859755248
JVM.threadCount,1705909209249000000,1705909269227000000,66
